#chr1_KI270761v1_alt	3	137749-141942,153270-153354	11
20	a1e0090b-c067-401d-bacb-2752afdf753b	chr1_KI270761v1_alt	-	3	137749-138956:14-1188:4M1D29M1D11M2D32M1D62M1D3M1D20M2I2M1I16M1D10M1D3M1I3M3D1M1D10M1D18M1D25M1D73M3D13M1D29M1D13M1D29M2D28M2I2M1I7M1D8M1D6M3D58M1D11M1I6M1I34M1I6M3I16M1D12M1D18M1I28M2D4M3I8M1D5M2I5M1D1M1D6M1I24M2D20M2D7M1D9M1D25M1D22M2I22M4D10M5D7M1D25M1I13M1D9M1D23M1D8M1I2M1I7M1I13M1D25M1I2M1D8M2I20M2D2M1D6M2D30M3D11M1I3M1D10M1I8M1D25M1I18M3D8M1D6M6I1M2I17M1D2M1I10M
21	ad397adb-f0f0-4c55-ba29-42385a2a085d	chr1_KI270761v1_alt	-	3	137755-141942:2-3966:14M1D4M1D5M1D4M1I37M1D3M2D45M3D15M2I7M1D14M2D4M1D13M2D7M3D2M1I9M2D11M1I33M1D8M1D7M2I2M1D3M1I11M1D6M1I2M3D12M1D28M1D26M2D18M4D7M2D16M2I9M1D2M2D31M1D5M1D21M1I2M1D25M2D37M2D5M1D6M2D44M3I15M1D8M1D2M1D38M5D2M2D4M1D8M1D7M1D56M1D23M4D6M1D9M1I28M1I18M1D5M2D6M1D2M1D8M1D22M1D14M2I13M1I3M1I9M1D29M1D10M1D5M1D6M2I15M1D4M1D4M1D6M1D4M2D39M1D7M3I20M1D5M1D68M1D9M1I5M3D2M1D22M1D8M2I10M1D16M2I5M1I7M1I2M1I8M1I35M1I10M1I17M1D10M1I12M1I9M1D20M1D4M3I9M3D12M3D40M2D7M1D14M1I3M1D32M2D3M1D5M2D9M1I21M1I48M1D12M3D1M1D25M2I62M5D28M1D17M1D9M5D14M1I8M1D8M3D15M1D17M1D19M1I46M1D36M4D9M2D18M1I23M1I19M1I14M1D2M1I20M1D6M1D13M2I20M1I31M2D46M1D20M1D12M4D3M5D5M5D32M1D10M5D17M1D13M1I22M1I16M2D9M1I18M3I21M1I12M2I2M2I6M3D9M1D3M1D6M1D18M2D7M1I10M1I44M1D23M3D9M3D11M1D9M1D6M2I8M3D65M1I5M1D59M1I92M2D9M3D1M1D36M1D22M4D8M4D2M1D4M1D13M2D17M1D4M1D11M1I19M1D6M1D28M5D11M1D1M2I26M1D15M1D6M1I3M1D5M1D8M2I26M2D20M2I7M2I35M2I17M3D12M1D32M2I21M1I5M1D2M2D39M2D6M1D5M1I20M2D2M1D39M2D10M1D2M1D5M3D33M1I12M1D43M1D28M4D10M1I8M2D4M2D32M2D3M1D9M1D9M2D12M1D19M1D3M1D15M2D29M1D12M2D25M1D14M1D14M1D4M1I14M3D6M1D7M4D2M1I18M2D27M1D5M1D4M2D13M3D10M5D18M9D20M1D34M1D5M2I8M1I1M2D9M2D15M1I10M1I4M2I29M2D12M2D4M1I17M1D16M5D15M
22	2aea9968-2a30-4948-a764-f4eee742ffab	chr1_KI270761v1_alt	-	3	138625-139319:103-743:26M1D9M1I25M2D8M1I11M1D3M2D53M1D6M2D9M2D2M4D34M2D8M1D7M1D18M1D23M2D18M1D17M1D23M1D33M1D10M1D4M2I29M3D5M2D2M1D24M2I13M2D17M3D3M1D15M3I29M1D5M1I15M8D18M2D30M1D13M5D14M1D8M1I13M8D29M
23	fe709dbe-cacf-4c0e-b50d-8058f01feb26	chr1_KI270761v1_alt	-	3	138629-139034:13-384:5M1D47M2I4M2D5M1D3M1D15M5D6M1D7M1D19M3D25M3D7M3D2M1D4M4D25M2D4M3D8M1D29M1D10M2D10M2I40M1D22M3I27M2D13M4D9M1I17M
24	74d528ea-31af-40c5-bc48-29fc215be03d	chr1_KI270761v1_alt	-	3	138629-139524:4-855:5M1D14M1I8M1D29M1I9M2D23M1D5M1D23M1I11M1D11M1D9M6D34M1D6M2D11M1D18M1D34M2I32M1D9M1D6M2D26M1I21M1D2M2I28M3D10M1D7M2D28M1I40M2D33M1I16M1D25M2D6M1I7M1I5M1D11M1D12M1D27M3I1M1I11M2D3M1D44M3D38M3D2M1I10M3D10M1D21M4D2M1D9M2D36M1D11M1D21M1D14M	153270-153354:855-938:70M1D13M
25	0e67f7e6-63b2-429e-90e4-6f846f68ab7a	chr1_KI270761v1_alt	-	3	138631-138981:7-355:26M1D29M1I9M2D39M1I7M1D6M1I11M1D13M2I20M1I3M1I21M1I9M2D32M1D44M1D43M1D28M
26	0c26b914-7865-4c00-9242-b54e1ff96d71	chr1_KI270761v1_alt	-	3	138632-139524:7-822:25M1D6M2D66M2D10M1D10M1I19M3D4M3D2M1D8M1D67M1D7M1D21M1D13M3D30M1D11M1D28M3D1M1D18M2D27M2D6M1D9M1I3M1D9M1D13M1D13M12D5M2D16M1D20M1I1M1I4M2D7M2D10M4D17M4D25M1D3M3D43M1I6M1D10M1D6M1D3M1D72M1D38M1I3M1D2M1I14M4D7M2I24M7D26M4D18M	153270-153354:822-906:12M1I17M1I6M1D36M1D11M
27	be07d7b4-2268-459c-987c-2f6a8fdf1788	chr1_KI270761v1_alt	-	3	138635-139324:11-680:37M1D54M1D4M1D11M1D41M7D9M1I1M2I19M2I5M1I30M1D23M1D13M1D52M1D3M1D43M1D23M1I14M2I48M1D49M1D20M1D8M1D7M2D3M2D8M1D8M2D2M1D41M1I17M1I9M1D18M1D38M
28	3727650f-2b0d-469b-a4cf-2cb48748bc61	chr1_KI270761v1_alt	-	3	138660-139233:3-560:7M2D18M1I9M1D2M1D27M1D16M1D18M1D20M7D22M1I16M1I15M1D43M2I19M2D28M1D46M2I28M1I3M2I17M2I7M1I21M3D19M1I13M2D30M1D10M1D14M1I19M3D10M1D9M2D36M
29	344bb938-e523-4c52-b4d9-2064a70e394e	chr1_KI270761v1_alt	-	3	138700-139434:3-689:26M2D4M1I8M1I4M1D8M2I2M1D15M2D17M1D25M1I16M1D3M1D2M2D22M1D17M1I67M1D3M2D29M3D7M2I34M2D2M1I79M3D3M4D12M4I6M1D8M2D3M5D5M1D9M1D1M1D10M1D9M2D18M2D3M2D25M1D6M2D18M1I6M1D7M2D36M2D43M3D2M1D21M4D8M1I10M2D12M
